# 
#                                CLASSICAL CEPHEIDS IN THE MILKY WAY
# 
#                        Pietrukowicz et al. (2021, Acta Astronomica, 71, 205)
# 
#     List updated in April 2024.     Number of classical Cepheids in the list:  3,647
#
# 
#Source              Name                      RA(2000.0)   Dec(2000.0)  RA[deg]     Dec[deg]    l[deg]      b[deg]      Mode(s)  P_F[day]   P_1O[day]  P_2O[day]  P_3O[day]  Bands  OGLE              OGLE-II           OGLE-III          OGLE-IV           ASAS           ASASSN-V             Gaia-DR3             G[mag]
#***************************************************************************************************************************************************************************************************************************************************************************************************************************
OGLE-IV              OGLE-GD-CEP-1357          07:48:48.41  -34:55:25.1  117.201728  -34.923645  250.093601   -4.604850  F        1.9691838  0          0          0          GI     OGLE-GD-CEP-1357  -                 -                 GD2331.02.6641    -              -                    5587749948138698880  15.429
ASAS                 J074902-1906.8            07:49:02.29  -19:06:48.8  117.259522  -19.113568  236.465196    3.429587  1O       0          4.6439196  0          0          GV     -                 -                 -                 -                 074902-1906.8  -                    5715901567412202496   9.547
ASAS                 J074925-3814.4            07:49:25.24  -38:14:21.7  117.355183  -38.239349  253.039055   -6.157339  F       10.5035199  0          0          0          GVI    OGLE-GD-CEP-0133  -                 -                 GD2141.07.1       074925-3814.4  391272               5538569613358406144  12.675
GCVS                 BM____Pup                 07:50:03.12  -28:15:18.5  117.513011  -28.255140  244.466098   -1.005311  F        7.1983699  0          0          0          GV     -                 -                 -                 -                 075003-2815.3  -                    5600628115523816320  10.429
OGLE-IV              OGLE-GD-CEP-1358          07:50:10.07  -33:08:02.4  117.541939  -33.134007  248.686382   -3.459478  1O       0          1.9244744  0          0          GI     OGLE-GD-CEP-1358  -                 -                 GD2330.18.3903    -              -                    5594751603823046272  16.052
OGLE-IV              OGLE-GD-CEP-0134          07:50:30.02  -32:46:43.7  117.625101  -32.778799  248.414996   -3.219391  1O       0          1.9782087  0          0          GI     OGLE-GD-CEP-0134  -                 -                 GD1584.16.3583    -              -                    5594793935021492992  15.703
OGLE-IV              OGLE-GD-CEP-1613          07:50:43.63  -36:32:39.5  117.681797  -36.544306  251.696160   -5.082872  1O       0          0.9387295  0          0          GI     OGLE-GD-CEP-1613  -                 -                 GD2140.14.91      -              -                    5539363632552520832  15.090
OGLE-IV              OGLE-GD-CEP-0135          07:50:49.49  -32:39:38.9  117.706225  -32.660792  248.347828   -3.100706  F        3.6850493  0          0          0          GIc    OGLE-GD-CEP-0135  -                 -                 GD1584.25.18      -              -                    5594803590107865984  14.583
OGLE-IV              OGLE-GD-CEP-0136          07:51:28.08  -35:03:59.6  117.866993  -35.066569  250.493054   -4.206335  F        2.1306764  0          0          0          GI     OGLE-GD-CEP-0136  -                 -                 GD2138.23.119     -              -                    5593545405208794240  16.695
OGLE-IV              OGLE-GD-CEP-0137          07:51:42.96  -35:42:15.3  117.929001  -35.704237  251.070002   -4.486012  F        7.1655819  0          0          0          GVI    OGLE-GD-CEP-0137  -                 -                 GD2138.05.9       -              522484               5587468095205750528  13.689
OGLE-IV              OGLE-GD-CEP-0138          07:51:51.21  -24:25:21.0  117.963380  -24.422499  241.374804    1.296250  1O       0          2.4944089  0          0          GVI    OGLE-GD-CEP-0138  -                 -                 GD1590.18.9812    -              262339               5710582125855766400  12.746
ASASSN-V             J075230.15-424424.4       07:52:30.21  -42:44:24.9  118.125860  -42.740252  257.264039   -7.894931  1O       0          0.8580483  0          0          GV     -                 -                 -                 -                 -              AP43565048           5532574289995028736  13.998
OGLE-IV              OGLE-GD-CEP-0139          07:53:08.92  -26:03:00.6  118.287179  -26.050176  242.922854    0.713661  1O2O     0          0.5875793  0.4724706  0          GI     OGLE-GD-CEP-0139  -                 -                 GD1579.31.6691    -              -                    5602144170265728384  13.931
OGLE-IV              OGLE-GD-CEP-0140          07:53:26.39  -36:29:52.4  118.359950  -36.497886  251.933173   -4.589525  1O       0          1.7701760  0          0          GI     OGLE-GD-CEP-0140  -                 -                 GD2140.11.4222    -              -                    5539340581471326336  15.618
GCVS                 V724__Pup                 07:53:45.07  -36:58:13.4  118.437778  -36.970384  252.372939   -4.776715  F        5.5640720  0          0          0          GV     -                 -                 -                 -                 075345-3658.2  273554               5539107450645759232  10.685
GCVS                 LL____Pup                 07:53:48.78  -30:27:37.1  118.453243  -30.460307  246.780668   -1.428818  F        5.0774050  0          0          0          GV     -                 -                 -                 -                 075349-3027.6  259653               5595650351503904896  10.652
GCVS                 V616__Pup                 07:53:57.63  -28:22:03.4  118.490142  -28.367618  245.002990   -0.323794  F        5.8006758  0          0          0          GVIc   OGLE-GD-CEP-0141  -                 -                 GD1580.05.5       -              260194               5600471160241231616  12.628
OGLE-IV              OGLE-GD-CEP-0142          07:53:59.51  -39:07:00.7  118.497963  -39.116862  254.252955   -5.828115  F        1.6705088  0          0          0          GI     OGLE-GD-CEP-0142  -                 -                 GD2137.32.35      -              -                    5537667910750577280  15.109
OGLE-IV              OGLE-GD-CEP-0143          07:54:15.24  -34:25:45.8  118.563509  -34.429380  250.236375   -3.389060  1O2O     0          1.1710577  0.9349104  0          GI     OGLE-GD-CEP-0143  -                 -                 GD1585.03.108     -              -                    5593684562150700544  16.394
OGLE-IV              OGLE-GD-CEP-1614          07:54:34.94  -29:12:51.7  118.645597  -29.214370  245.798754   -0.643723  1O2O     0          0.7215056  0.5799151  0          GI     OGLE-GD-CEP-1614  -                 -                 GD1581.12.39      -              -                    5600278367747003520  14.332
OGLE-IV              OGLE-GD-CEP-0144          07:54:48.33  -37:26:42.7  118.701384  -37.445200  252.890207   -4.838692  1O       0          3.5363675  0          0          GI     OGLE-GD-CEP-0144  -                 -                 GD2141.17.6492    -              -                    5539030278673437184  16.183
OGLE-IV              OGLE-GD-CEP-0145          07:54:49.44  -36:10:18.0  118.705982  -36.171678  251.794941   -4.183178  F        2.5205410  0          0          0          GI     OGLE-GD-CEP-0145  -                 -                 GD2140.18.4371    -              -                    5545356696781226496  15.772
OGLE-IV              OGLE-GD-CEP-0146          07:54:50.59  -37:37:20.8  118.710810  -37.622456  253.046911   -4.922936  F        3.7079495  0          0          0          GVI    OGLE-GD-CEP-0146  -                 -                 GD2141.17.1       -              473771               5539023922122441728  12.469
ASAS                 J075503-2614.3            07:55:02.87  -26:14:17.3  118.761977  -26.238127  243.303595    0.982095  1O       0          2.1230886  0          0          GV     -                 -                 -                 -                 075503-2614.3  -                    5602077301899527680  11.098
OGLE-IV              OGLE-GD-CEP-0147          07:55:15.04  -32:15:14.5  118.812651  -32.254033  248.476697   -2.090529  1O       0          1.8698412  0          0          GVIc   OGLE-GD-CEP-0147  -                 -                 GD1584.27.21      -              384181               5594452296147569408  13.773
OGLE-IV              OGLE-GD-CEP-1615          07:55:28.67  -34:25:27.3  118.869442  -34.424254  250.362004   -3.170028  1O       0          0.9439777  0          0          GI     OGLE-GD-CEP-1615  -                 -                 GD1573.25.245     -              -                    5593641268879096448  17.663
GCVS                 LQ____Pup                 07:56:12.48  -32:36:09.5  119.052007  -32.602640  248.879816   -2.097991  F        4.5172216  0          0          0          GVI    OGLE-GD-CEP-0148  -                 -                 GD1584.18.3       075612-3236.1  389888               5594382644652353664  11.595
OGLE-IV              OGLE-GD-CEP-0149          07:56:36.93  -30:57:10.1  119.153879  -30.952793  247.513865   -1.167813  F        2.4944279  0          0          0          GVIc   OGLE-GD-CEP-0149  -                 -                 GD1570.16.7089    -              362910               5596920115637629184  13.915
GCVS                 V335__Pup                 07:56:57.70  -22:49:31.5  119.240415  -22.825424  240.607500    3.121517  1O       0          4.8609128  0          0          GV     -                 -                 -                 -                 075658-2249.5  -                    5711201189563596416   8.445
Gaia-DR3             5512785726389838592       07:56:59.74  -52:41:03.8  119.248932  -52.684389  266.427063  -12.146701  F        1.6964462  0          0          0          G      -                 -                 -                 -                 -              -                    5512785726389838592  16.795
