# 
#                                CLASSICAL CEPHEIDS IN THE MILKY WAY
# 
#                        Pietrukowicz et al. (2021, Acta Astronomica, 71, 205)
# 
#     List updated in April 2024.     Number of classical Cepheids in the list:  3,647
#
# 
#Source              Name                      RA(2000.0)   Dec(2000.0)  RA[deg]     Dec[deg]    l[deg]      b[deg]      Mode(s)  P_F[day]   P_1O[day]  P_2O[day]  P_3O[day]  Bands  OGLE              OGLE-II           OGLE-III          OGLE-IV           ASAS           ASASSN-V             Gaia-DR3             G[mag]
#***************************************************************************************************************************************************************************************************************************************************************************************************************************
Gaia-DR3             512504875337809664        01:34:04.67  +63:20:26.5   23.519459   63.340696  127.693358    0.863824  1O       0          2.8080980  0          0          G      -                 -                 -                 -                 -              -                    512504875337809664   12.343
ASASSN-V             J013539.70+651950.5       01:35:39.67  +65:19:49.8   23.915299   65.330496  127.528477    2.854175  F        6.5577881  0          0          0          GVr    -                 -                 -                 -                 -              286354               513282131279401728   12.522
Gaia-DR3             512921113512080128        01:36:12.87  +63:59:30.2   24.053605   63.991724  127.817077    1.545494  1O       0          1.5026303  0          0          G      -                 -                 -                 -                 -              -                    512921113512080128   15.270
GCVS                 RW____Cas                 01:37:14.02  +57:45:33.2   24.308407   57.759216  129.029961   -4.569301  F       14.7898255  0          0          0          GV     -                 -                 -                 -                 -              284380               508915489570374272    8.834
ASASSN-V             J013725.59+634128.8       01:37:25.60  +63:41:28.9   24.356671   63.691363  128.001280    1.273176  F        3.2392024  0          0          0          GV     -                 -                 -                 -                 -              478649               512491028363231616   13.144
GCVS                 AY____Cas                 01:38:59.99  +64:59:21.3   24.749938   64.989238  127.934481    2.580465  F        2.8715563  0          0          0          GV     -                 -                 -                 -                 -              285373               513074186146353536   11.094
NSVS                 1808829                   01:41:00.50  +63:03:19.9   25.252070   63.055527  128.512917    0.722167  F        4.1342989  0          0          0          Gr     -                 -                 -                 -                 -              -                    511706805997227648   12.738
GCVS                 V1016_Cas                 01:43:16.77  +59:59:51.4   25.819890   59.997616  129.375886   -2.223929  F        3.8431667  0          0          0          GV     -                 -                 -                 -                 -              338984               509629965971797376   12.352
GCVS                 V1154_Cas                 01:46:31.46  +65:01:34.7   26.631073   65.026293  128.707023    2.774031  1O       0          2.1133851  0          0          GV     -                 -                 -                 -                 -              285852               518291368820214272   10.714
GCVS                 IO____Cas                 01:47:02.71  +59:36:22.5   26.761308   59.606258  129.920595   -2.508838  F        5.6031095  0          0          0          GVc    -                 -                 -                 -                 -              362878               506602976101284736   13.266
GCVS                 BY____Cas                 01:47:11.92  +61:25:21.0   26.799652   61.422489  129.549810   -0.730724  1O       0          3.2232474  0          0          GV     -                 -                 -                 -                 -              338165               511226491219235840    9.897
ASASSN-V             J014840.54+602242.5       01:48:40.54  +60:22:42.7   27.168921   60.378515  129.951993   -1.710749  1O       0          3.3152668  0          0          GVr    -                 -                 -                 -                 -              AP4337778            508154799325819008   13.055
